concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason
35100724,Soltrim,Drug,ChemiDPlus,contains,"NA",63749-94-0,2020-09-16,2099-12-31,"NA"
35802988,Dalteparin,Drug,ChemiDPlus,contains,"NA",9041-08-1,2020-09-16,2099-12-31,"NA"
35805605,Phthoruracil,Drug,ChemiDPlus,contains,"NA",51-21-8,2020-09-16,2099-12-31,"NA"
35101782,Bactiver,Drug,ChemiDPlus,contains,"NA",8064-90-2,2020-09-16,2099-12-31,"NA"
35805954,Dexferrum,Drug,ChemiDPlus,contains,"NA",9004-66-4,2020-09-16,2099-12-31,"NA"
35804688,Platidiam,Drug,ChemiDPlus,contains,"NA",15663-27-1,2020-09-16,2099-12-31,"NA"
35802860,Abiraterone,Drug,ChemiDPlus,contains,"NA",154229-18-2,2020-09-16,2099-12-31,"NA"
35802860,Abiraterone,Drug,ChemiDPlus,contains,"NA",154229-19-3,2020-09-16,2099-12-31,"NA"
35806600,Protonix,Drug,ChemiDPlus,contains,"NA",138786-67-1,2020-09-16,2099-12-31,"NA"
35100998,Oncovin,Drug,ChemiDPlus,contains,"NA",57-22-7,2020-09-16,2099-12-31,"NA"
35100998,Oncovin,Drug,ChemiDPlus,contains,"NA",2068-78-2,2020-09-16,2099-12-31,"NA"
35803165,Lusutrombopag,Drug,ChemiDPlus,contains,"NA",1110766-97-6,2020-09-16,2099-12-31,"NA"
35101596,Chemitrim,Drug,ChemiDPlus,contains,"NA",8064-90-2,2020-09-16,2099-12-31,"NA"
35803001,Deferoxamine,Drug,ChemiDPlus,contains,"NA",70-51-9,2020-09-16,2099-12-31,"NA"
35803001,Deferoxamine,Drug,ChemiDPlus,contains,"NA",138-14-7,2020-09-16,2099-12-31,"NA"
35803001,Deferoxamine,Drug,ChemiDPlus,contains,"NA",1950-39-6,2020-09-16,2099-12-31,"NA"
35806010,Fempro,Drug,ChemiDPlus,contains,"NA",745-65-3,2020-09-16,2099-12-31,"NA"
35806010,Fempro,Drug,ChemiDPlus,contains,"NA",16397-28-7,2020-09-16,2099-12-31,"NA"
35806574,Aredia,Drug,ChemiDPlus,contains,"NA",109552-15-0,2020-09-16,2099-12-31,"NA"
35804877,Sendoxan,Drug,ChemiDPlus,contains,"NA",50-18-0,2020-09-16,2099-12-31,"NA"
35100237,Suprim,Drug,ChemiDPlus,contains,"NA",569-65-3,2020-09-16,2099-12-31,"NA"
