ancestor_concept_id,descendant_concept_id,min_levels_of_separation,max_levels_of_separation
916135413,35802988,0,1
916135413,35805265,0,1
916135413,35803313,0,1
916135413,35804949,0,1
916135413,35807053,0,1
916135413,35805270,0,1
916135413,35803036,0,1
916135413,35803344,0,1
916135414,35802988,0,1
916135414,35805265,0,1
916135414,35803313,0,1
916135414,35804949,0,1
916135414,35807053,0,1
916135414,35805270,0,1
916135414,35803036,0,1
916135414,35803344,0,1
916135415,35802988,0,1
916135415,35805265,0,1
916135415,35803313,0,1
916135415,35804949,0,1
916135415,35807053,0,1
916135415,35805270,0,1
916135415,35803036,0,1
916135415,35803344,0,1
916135416,35802988,0,1
916135416,35805265,0,1
916135416,35803313,0,1
916135416,35804949,0,1
916135416,35807053,0,1
916135416,35805270,0,1
916135416,35803036,0,1
916135416,35803344,0,1
916135417,35802988,0,1
916135417,35805265,0,1
916135417,35803313,0,1
916135417,35804949,0,1
916135417,35807053,0,1
916135417,35805270,0,1
916135417,35803036,0,1
916135417,35803344,0,1
916135418,35802988,0,1
916135418,35805265,0,1
916135418,35803313,0,1
916135418,35804949,0,1
916135418,35807053,0,1
916135418,35805270,0,1
916135418,35803036,0,1
916135418,35803344,0,1
916135419,35802988,0,1
916135419,35805265,0,1
916135419,35803313,0,1
916135419,35804949,0,1
916135419,35807053,0,1
916135419,35805270,0,1
916135419,35803036,0,1
916135419,35803344,0,1
916135420,35802988,0,1
916135420,35805265,0,1
916135420,35803313,0,1
916135420,35804949,0,1
916135420,35807053,0,1
916135420,35805270,0,1
916135420,35803036,0,1
916135420,35803344,0,1
916135421,35802988,0,1
916135421,35805265,0,1
916135421,35803313,0,1
916135421,35804949,0,1
916135421,35807053,0,1
916135421,35805270,0,1
916135421,35803036,0,1
916135421,35803344,0,1
916135422,35802988,0,1
916135422,35805265,0,1
916135422,35803313,0,1
916135422,35804949,0,1
916135422,35807053,0,1
916135422,35805270,0,1
916135422,35803036,0,1
916135422,35803344,0,1
916135423,35802988,0,1
916135423,35805265,0,1
916135423,35803313,0,1
916135423,35804949,0,1
916135423,35807053,0,1
916135423,35805270,0,1
916135423,35803036,0,1
916135423,35803344,0,1
916135424,35805605,0,1
916135424,35805579,0,1
916135424,35101447,0,1
916135424,35805552,0,1
916135424,35805616,0,1
916135424,35805556,0,1
916135424,35805563,0,1
916135424,35805584,0,1
916135424,35805574,0,1
916135424,35803077,0,1
916135424,35807313,0,1
916135424,35805553,0,1
916135425,35805605,0,1
916135425,35805579,0,1
916135425,35101447,0,1
916135425,35805552,0,1
916135425,35805616,0,1
916135425,35805556,0,1
916135425,35805563,0,1
916135425,35805584,0,1
916135425,35805574,0,1
916135425,35803077,0,1
916135425,35807313,0,1
916135425,35805553,0,1
916135426,35805605,0,1
916135426,35805579,0,1
916135426,35101447,0,1
916135426,35805552,0,1
916135426,35805616,0,1
916135426,35805556,0,1
916135426,35805563,0,1
916135426,35805584,0,1
916135426,35805574,0,1
916135426,35803077,0,1
916135426,35807313,0,1
916135426,35805553,0,1
916135427,35805605,0,1
916135427,35805579,0,1
916135427,35101447,0,1
916135427,35805552,0,1
916135427,35805616,0,1
916135427,35805556,0,1
916135427,35805563,0,1
916135427,35805584,0,1
916135427,35805574,0,1
916135427,35803077,0,1
916135427,35807313,0,1
916135427,35805553,0,1
916135417,35805605,0,1
916135417,35805579,0,1
916135417,35101447,0,1
916135417,35805552,0,1
916135417,35805616,0,1
916135417,35805556,0,1
916135417,35805563,0,1
916135417,35805584,0,1
916135417,35805574,0,1
916135417,35803077,0,1
916135417,35807313,0,1
916135417,35805553,0,1
916135421,35805605,0,1
916135421,35805579,0,1
916135421,35101447,0,1
916135421,35805552,0,1
916135421,35805616,0,1
916135421,35805556,0,1
916135421,35805563,0,1
916135421,35805584,0,1
916135421,35805574,0,1
916135421,35803077,0,1
916135421,35807313,0,1
916135421,35805553,0,1
916135428,35805605,0,1
916135428,35805579,0,1
916135428,35101447,0,1
916135428,35805552,0,1
916135428,35805616,0,1
916135428,35805556,0,1
916135428,35805563,0,1
916135428,35805584,0,1
